look_id,look_name,look_category,thumbnail_url,look_description,campaign_number,eyeshadows,eyeliner,mascara,brow,lipstick,lipliner,foundation,concealer,blush

1,Yaz için romantik görünüm,,http://www.avon.com.tr/REPSuite/static/images/galeri/c6_2016_thumb_01.jpg,Hem günlük hayatta hem de özel günlerde kullanabileceğiniz ve yüzünüzün doğal güzelliğini ön plana çıkaracak romantik makyajı deneyin...,7,52948/2/100,29480/5/100,42194/1/100,94388/1/75,52945/1/100,,51881/1/100,51889/1/100,

2,Dumanlı Bakışlar,,http://www.avon.com.tr/REPSuite/static/images/galeri/c6_2016_thumb_02.jpg,Özel anlarınız için sofistike görünüm,7,"29485/4/100, 29481/3/100",47039/3/100,52983/1/100,94388/1/75,51903/1/100,,51881/1/100,51889/1/100,
